# Global stud constraints. Values in millimetres unless the key says otherwise.
# Sourced from 008N9536 Rev 11. Edit here when the drawing revises -- no code change needed.
KEY,VALUE,SOURCE
MIN_STUD_SPACING_19MM,76.2,G103 T1-6 n1 / T1-7 n2 / G109 n1 (AISC 360 I8.3e)
MIN_STUD_SPACING_12MM,50.8,G109 n1 (AISC 360 I8.3e)
MIN_EDGE_CLEARANCE,38.1,G103 T1-6 n3 / T1-7 n5 n10
MAX_SPACING_FLOOR_ARRAY,254.0,G103 T1-7 n2 (faceplate buckling)
MAX_SPACING_CONNECTION_ZONE,610.0,G105 n1 / G106 n6 / G108 n4
MIN_TIE_BAR_SPACING,101.6,G109 n2
RADIAL_FIRST_ROW_CLEARANCE,152.4,G103 T1-7 n3 (radial diaphragms)
SPLICE_A_LANDING_PLATE_MAX,86.9,G103 Detail 3 n1 (basemat OSW modules)
SPLICE_B_SPLICE_LINE_MAX,76.2,G103 Detail 3 n2 (pedestal wall modules)
FLOOR_DOUBLE_ROW_LONG_SPACING_MAX,88.9,G103 T1-7 n6 (straddle thick/thin weld seam)
DENSITY_WINDOW,305.0,G103 T1-7 n7 n8
DENSITY_MIN_STUDS_DOUBLE_ROW,8,G103 T1-7 n7 (Wsc 610 mm)
DENSITY_MIN_STUDS_SINGLE_ROW,4,G103 T1-7 n8 (Wsc 406 mm)
SLEEVE_TO_DIAPHRAGM_ADD_STUD_ABOVE,254.0,G103 Detail 2 n4
INTERIOR_FLOOR_RING_CB_SPLICE_SL,122.0,G103 T1-7 n11 (rings C-B ring splice at -29.0 m)
AIRLOCK_ST_MIN,76.0,S505/S508 n2
AIRLOCK_ST_MAX,143.0,S505/S508 n2
AIRLOCK_RADIAL_KEEPOUT,76.0,S505/S508 n3
AIRLOCK_EDGE_CLEAR,60.3,S505/S508 (clear distance airlock edge to adjacent studs)
